Feature,Importance
soil_olm_soc__b10,0.3650805358192314
soil_olm_soc__b0,0.09174965300108807
soil_olm_soc__b30,0.015337581191281088
soil_olm_soc__b60,0.011943150165256364
modis_surftemp_1000__LST_Day_1km__yearly_0_mean__pppprev,0.009817612277826142
soil_olm_bd__b0,0.00909363307342828
ls578_sr__NIR__yearly_0_mean__pprev,0.007518480958805847
soil_olm_soc__b100,0.00683638209704413
soil_olm_bd__b100,0.006537697769213208
ls578_sr__NIR__yearly_0_mean__cur,0.006408599231979964
ls578_sr__NIR__yearly_0_mean__prev,0.0058570400678371465
ls578_sr__NIR__yearly_0_mean__ppprev,0.005811194381241988
ls578_sr__NIR__yearly_0_mean__pppprev,0.005754656503437767
imerg_precipitation__precipitation__yearly_0_mean__pppprev,0.005385062977605558
dem_nasa_dem30__elevation,0.005271170133792285
ls578_sr__NIR__yearly_0_mean__ppppprev,0.005207581385995352
soil_olm_bd__b10,0.005050304865762045
soil_olm_bd__b30,0.005046438198813721
imerg_precipitation__precipitation__yearly_0_mean__pprev,0.005044367629136425
modis_surftemp_1000__LST_Day_1km__yearly_0_mean__ppppprev,0.004841219284019106
dem_nasa_dem30__slope,0.004835239297645082
modis_surftemp_1000__LST_Day_1km__yearly_0_mean__pprev,0.004813324959527501
imerg_precipitation__precipitation__yearly_0_mean__prev,0.004725769394107168
imerg_precipitation__precipitation__yearly_0_mean__cur,0.004662849947891803
ls578_sr__Green__yearly_0_mean__pppprev,0.0046007057814534
climate_era5_land_monthly_averaged__total_precipitation__yearly_0_mean__pppprev,0.00456961902391189
modis_surftemp_1000__LST_Day_1km__yearly_0_mean__ppprev,0.004550560566165455
imerg_precipitation__precipitation__yearly_0_mean__ppprev,0.004529709140866414
modis_surftemp_1000__LST_Day_1km__yearly_0_mean__prev,0.0044984905371769105
imerg_precipitation__precipitation__yearly_0_mean__ppppprev,0.00441028428220462
modis_surftemp_1000__LST_Day_1km__yearly_0_mean__cur,0.004396098358805274
ls578_sr__Blue__yearly_0_mean__ppppprev,0.004289805324715128
modis_gpp_500__Gpp__yearly_0_mean__ppprev,0.004259228613855095
ls578_sr__SWIR2__yearly_0_mean__ppprev,0.0042474169927092685
ls578_sr__SWIR2__yearly_0_mean__pprev,0.004245813599682806
modis_combined_ndvi__NDVI__yearly_0_mean__ppppprev,0.004212902067157603
ls578_sr__Blue__yearly_0_mean__ppprev,0.004153034076077244
soil_olm_bd__b60,0.004117346987493723
soil_olm_water_content__b0,0.004023746321479502
modis_npp_500__Npp__ppprev,0.003986760993851257
modis_surftemp_1000__LST_Night_1km__yearly_0_mean__pprev,0.003954935615865243
modis_gpp_500__PsnNet__yearly_0_mean__ppppprev,0.003925511015897535
ls578_sr__SWIR2__yearly_0_mean__prev,0.003916814609505805
ls578_sr__SWIR1__yearly_0_mean__pprev,0.003704113160905936
ls578_sr__SWIR2__yearly_0_mean__cur,0.003632248858788183
modis_surftemp_1000__LST_Night_1km__yearly_0_mean__cur,0.0036221209943041307
modis_npp_500__Npp__pppprev,0.0036197547177923626
modis_surftemp_1000__LST_Night_1km__yearly_0_mean__prev,0.0036016730981539517
modis_surftemp_1000__LST_Night_1km__yearly_0_mean__ppppprev,0.003574348857944439
modis_veg_250__NDVI__yearly_0_mean__pppprev,0.003572596809853246
modis_veg_250__NDVI__yearly_0_mean__prev,0.0035688776419763326
modis_combined_ndvi__NDVI__yearly_0_mean__cur,0.0035549836120462954
modis_veg_250__NDVI__yearly_0_mean__ppprev,0.003494210883544336
modis_combined_ndvi__NDVI__yearly_0_mean__pppprev,0.0034528031114424533
ls578_sr__Green__yearly_0_mean__prev,0.003439672479076517
ls578_sr__Green__yearly_0_mean__cur,0.0034233778485776786
modis_veg_250__NDVI__yearly_0_mean__pprev,0.0034213898467237666
modis_gpp_500__PsnNet__yearly_0_mean__pprev,0.003403415013755944
ls578_sr__Blue__yearly_0_mean__pppprev,0.003400860547687541
ls578_sr__Green__yearly_0_mean__ppprev,0.003383364732462055
modis_gpp_500__PsnNet__yearly_0_mean__pppprev,0.0033822918125113333
modis_gpp_500__Gpp__yearly_0_mean__pppprev,0.003364437646982939
soil_olm_ph__b30,0.003358088349462499
modis_combined_ndvi__NDVI__yearly_0_mean__prev,0.003313724414495001
modis_combined_ndvi__NDVI__yearly_0_mean__ppprev,0.003303585447488723
modis_gpp_500__PsnNet__yearly_0_mean__ppprev,0.003302685759179071
modis_combined_ndvi__NDVI__yearly_0_mean__pprev,0.0032866065339469687
ls578_sr__Blue__yearly_0_mean__pprev,0.003276153652507616
ls578_sr__Green__yearly_0_mean__ppppprev,0.003265751992242749
modis_npp_500__Npp__cur,0.0032639400633520757
modis_veg_250__NDVI__yearly_0_mean__ppppprev,0.0032587994501138548
ls578_sr__Blue__yearly_0_mean__prev,0.003255520366248961
modis_veg_250__NDVI__yearly_0_mean__cur,0.003203819031505131
soil_olm_water_content__b30,0.003189835440020476
ls578_sr__SWIR2__yearly_0_mean__pppprev,0.0031544410663207636
climate_era5_land_monthly_averaged__total_precipitation__yearly_0_mean__prev,0.0031481969250744487
soil_olm_water_content__b10,0.0031431500309760893
ls578_sr__Blue__yearly_0_mean__cur,0.003135787878638398
ls578_sr__Red__yearly_0_mean__cur,0.003104706707481295
modis_gpp_500__Gpp__yearly_0_mean__pprev,0.0030924802136027382
ls578_sr__SWIR1__yearly_0_mean__prev,0.003078756007304555
modis_npp_500__Npp__prev,0.0030629413869156592
modis_npp_500__Npp__pprev,0.003054166303114888
ls578_sr__SWIR2__yearly_0_mean__ppppprev,0.003052885353526504
ls578_sr__Red__yearly_0_mean__prev,0.003043814762782105
climate_era5_land_monthly_averaged__total_precipitation__yearly_0_mean__ppprev,0.0030297564556214505
modis_surftemp_1000__LST_Night_1km__yearly_0_mean__ppprev,0.0030225917107171876
ls578_sr__Red__yearly_0_mean__ppprev,0.003015524705646927
climate_era5_land_monthly_averaged__total_precipitation__yearly_0_mean__ppppprev,0.0030107612430562637
soil_olm_sand__b100,0.0029690003472387723
modis_surftemp_1000__LST_Night_1km__yearly_0_mean__pppprev,0.0029666587365421255
modis_gpp_500__Gpp__yearly_0_mean__cur,0.0029541256030283717
ls578_sr__Red__yearly_0_mean__pprev,0.002931801942019079
modis_gpp_500__Gpp__yearly_0_mean__ppppprev,0.0029284343280974717
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_3__yearly_0_mean__ppppprev,0.00286076681852001
ls578_sr__SWIR1__yearly_0_mean__ppppprev,0.0028601845227422176
modis_npp_500__Npp__ppppprev,0.0028467230242336617
ls578_sr__Red__yearly_0_mean__ppppprev,0.0028219009516056892
ls578_sr__SWIR1__yearly_0_mean__cur,0.00280783415197379
ls578_sr__SWIR1__yearly_0_mean__ppprev,0.0027932597759155226
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_3__yearly_0_mean__pppprev,0.00274228776332824
modis_gpp_500__PsnNet__yearly_0_mean__prev,0.0027201781307037392
modis_gpp_500__PsnNet__yearly_0_mean__cur,0.002688155798209535
ls578_sr__Red__yearly_0_mean__pppprev,0.00268124330014686
modis_gpp_500__Gpp__yearly_0_mean__prev,0.0026793015325896805
soil_olm_water_content__b100,0.002677175999573998
climate_era5_land_monthly_averaged__total_precipitation__yearly_0_mean__pprev,0.002668154055666281
ls578_sr__Green__yearly_0_mean__pprev,0.0026592637557101614
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_3__yearly_0_mean__pprev,0.0026378750565391887
soil_olm_water_content__b60,0.0026336945056756405
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_3__yearly_0_mean__ppprev,0.0026142316149091282
soil_olm_clay__b10,0.0026078417979467374
soil_olm_ph__b100,0.002588284354253217
soil_olm_sand__b30,0.002563716976277536
soil_olm_ph__b60,0.0024990421482717373
soil_olm_clay__b30,0.0024707454801920583
soil_olm_clay__b100,0.002468454834490036
soil_olm_sand__b0,0.0024274841885549305
climate_era5_land_monthly_averaged__total_precipitation__yearly_0_mean__cur,0.002410624885809757
ls578_sr__SWIR1__yearly_0_mean__pppprev,0.0024071437038772256
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_3__yearly_0_mean__prev,0.002387940142239483
soil_olm_clay__b0,0.002368271778668825
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_3__yearly_0_mean__cur,0.0023581880839254094
soil_olm_sand__b10,0.00235676256897237
soil_olm_sand__b60,0.002306615242278628
soil_olm_clay__b60,0.0023041574972621367
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_1__yearly_0_mean__pppprev,0.0022058387678994093
soil_olm_ph__b10,0.0021949419331123332
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_2__yearly_0_mean__pppprev,0.002056683051359487
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_1__yearly_0_mean__cur,0.0020345151567770212
climate_era5_land_monthly_averaged__temperature_2m__yearly_0_mean__ppppprev,0.0020212598869754606
soil_olm_ph__b0,0.001989764713087709
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_1__yearly_0_mean__ppppprev,0.00196796985115292
climate_era5_land_monthly_averaged__soil_temperature_level_3__yearly_0_mean__ppppprev,0.001849242364239025
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_2__yearly_0_mean__ppppprev,0.001817613381078439
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_2__yearly_0_mean__cur,0.0017806158621269778
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_1__yearly_0_mean__ppprev,0.001748089363943962
climate_era5_land_monthly_averaged__soil_temperature_level_3__yearly_0_mean__ppprev,0.0017072457026802747
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_1__yearly_0_mean__pprev,0.0016777093598271356
climate_era5_land_monthly_averaged__soil_temperature_level_3__yearly_0_mean__pprev,0.0016747538570020307
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_2__yearly_0_mean__pprev,0.0016627430765924264
climate_era5_land_monthly_averaged__skin_temperature__yearly_0_mean__pprev,0.001660257848857404
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_1__yearly_0_mean__prev,0.0016571955706799338
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_2__yearly_0_mean__ppprev,0.0016133320125070237
climate_era5_land_monthly_averaged__skin_temperature__yearly_0_mean__ppppprev,0.0015888345501579209
climate_era5_land_monthly_averaged__soil_temperature_level_1__yearly_0_mean__ppprev,0.001530859665668048
climate_era5_land_monthly_averaged__volumetric_soil_water_layer_2__yearly_0_mean__prev,0.0015132865345454558
climate_era5_land_monthly_averaged__temperature_2m__yearly_0_mean__ppprev,0.001494587945796156
climate_era5_land_monthly_averaged__temperature_2m__yearly_0_mean__pppprev,0.0014886315033166215
climate_era5_land_monthly_averaged__temperature_2m__yearly_0_mean__pprev,0.001455601889594069
climate_era5_land_monthly_averaged__soil_temperature_level_3__yearly_0_mean__pppprev,0.00136774880871384
climate_era5_land_monthly_averaged__soil_temperature_level_2__yearly_0_mean__ppppprev,0.0013640399674318359
climate_era5_land_monthly_averaged__soil_temperature_level_2__yearly_0_mean__pppprev,0.001341258313703787
climate_era5_land_monthly_averaged__skin_temperature__yearly_0_mean__cur,0.0013198847939622305
climate_era5_land_monthly_averaged__temperature_2m__yearly_0_mean__cur,0.0012277117813297438
climate_era5_land_monthly_averaged__soil_temperature_level_1__yearly_0_mean__ppppprev,0.0012038583688451718
climate_era5_land_monthly_averaged__skin_temperature__yearly_0_mean__pppprev,0.0011952125005259223
climate_era5_land_monthly_averaged__temperature_2m__yearly_0_mean__prev,0.0011800850420552729
climate_era5_land_monthly_averaged__skin_temperature__yearly_0_mean__prev,0.0011754472963718657
modis_landcoveryearly_500__LC_Type1__cur,0.0011718860709679403
climate_era5_land_monthly_averaged__soil_temperature_level_1__yearly_0_mean__pprev,0.0011525453238615032
climate_era5_land_monthly_averaged__soil_temperature_level_2__yearly_0_mean__ppprev,0.001138862024168961
climate_era5_land_monthly_averaged__skin_temperature__yearly_0_mean__ppprev,0.0010657755548111312
climate_era5_land_monthly_averaged__soil_temperature_level_3__yearly_0_mean__cur,0.0010255432564845839
climate_era5_land_monthly_averaged__soil_temperature_level_1__yearly_0_mean__cur,0.0010223945109418856
climate_era5_land_monthly_averaged__soil_temperature_level_1__yearly_0_mean__pppprev,0.0010196285305130092
climate_era5_land_monthly_averaged__soil_temperature_level_2__yearly_0_mean__cur,0.0009809021962779215
climate_era5_land_monthly_averaged__soil_temperature_level_3__yearly_0_mean__prev,0.0009681044517309171
year,0.0009298029495511783
climate_era5_land_monthly_averaged__soil_temperature_level_2__yearly_0_mean__pprev,0.0008874058682452904
climate_era5_land_monthly_averaged__soil_temperature_level_1__yearly_0_mean__prev,0.0008740337036942572
climate_era5_land_monthly_averaged__soil_temperature_level_2__yearly_0_mean__prev,0.0007654279921317293
